index,date,Open,High,Low,Close,Volume
815,2022-07-26,59.34,63.68,58.6,61.07,2024624.0
816,2022-07-27,60.1,62.19,60.1,61.65,180264.0
817,2022-07-28,61.65,62.5,61.1,62.3,69248.0
818,2022-07-29,61.4,63.4,61.0,62.23,75187.0
819,2022-08-01,63.4,63.4,61.05,61.51,63521.0
820,2022-08-02,59.5,61.5,58.03,59.07,313648.0
821,2022-08-03,60.69,61.05,58.5,59.2,513288.0
822,2022-08-04,59.45,61.0,59.45,60.67,210887.0
823,2022-08-05,60.67,61.9,60.13,61.02,384868.0
824,2022-08-10,61.3,63.0,61.0,62.54,120691.0
825,2022-08-11,62.74,63.0,61.0,62.16,213227.0
826,2022-08-12,62.5,64.9,62.0,63.93,354225.0
827,2022-08-15,64.49,68.72,64.49,67.71,3498042.0
828,2022-08-16,66.8,68.48,66.8,67.43,1692079.0
829,2022-08-17,67.98,67.99,66.0,66.32,161342.0
830,2022-08-18,66.1,66.99,66.0,66.09,114333.0
831,2022-08-19,66.75,67.0,66.0,66.01,101768.0
832,2022-08-22,66.5,66.5,64.0,66.08,92867.0
833,2022-08-23,66.9,66.9,64.5,66.0,1057815.0
834,2022-08-24,66.97,66.97,65.0,65.01,150891.0
835,2022-08-25,65.89,66.0,64.5,64.67,371580.0
836,2022-08-26,65.5,65.5,63.5,64.04,393901.0
837,2022-08-29,64.0,64.04,60.5,62.57,293860.0
838,2022-08-30,63.33,65.9,62.0,62.34,216325.0
839,2022-08-31,61.0,64.0,61.0,63.44,1677919.0
840,2022-09-01,63.9,64.99,62.25,63.01,273802.0
841,2022-09-02,64.0,64.0,62.3,62.98,395953.0
842,2022-09-05,63.01,63.85,61.52,62.71,263393.0
843,2022-09-06,61.62,62.8,61.62,62.24,302938.0
844,2022-09-07,62.8,63.1,62.25,63.01,603080.0
845,2022-09-08,63.0,63.55,62.25,63.19,32799.0
846,2022-09-09,62.02,64.25,62.02,63.49,833251.0
847,2022-09-12,63.69,64.8,62.99,63.61,370238.0
848,2022-09-13,64.0,64.0,61.25,63.01,287319.0
